date,temp
1/1/2017 0:00,6.559
1/1/2017 0:10,6.414
1/1/2017 0:20,6.313
1/1/2017 0:30,6.121
1/1/2017 0:40,5.921
1/1/2017 0:50,5.853
1/1/2017 1:00,5.641
1/1/2017 1:10,5.496
1/1/2017 1:20,5.678
1/1/2017 1:30,5.491
1/1/2017 1:40,5.516
1/1/2017 1:50,5.471
1/1/2017 2:00,5.059
1/1/2017 2:10,4.968
1/1/2017 2:20,4.975
1/1/2017 2:30,4.897
1/1/2017 2:40,5.02
1/1/2017 2:50,5.407
1/1/2017 3:00,5.169
1/1/2017 3:10,5.081
1/1/2017 3:20,5.041
1/1/2017 3:30,5.034
1/1/2017 3:40,4.896
1/1/2017 3:50,4.805
1/1/2017 4:00,4.753
1/1/2017 4:10,4.901
1/1/2017 4:20,5.203
1/1/2017 4:30,5.394
1/1/2017 4:40,5.156
1/1/2017 4:50,5.179
1/1/2017 5:00,4.934
1/1/2017 5:10,4.718
1/1/2017 5:20,5.546
1/1/2017 5:30,4.658
1/1/2017 5:40,4.382
1/1/2017 5:50,4.212
1/1/2017 6:00,4.308
1/1/2017 6:10,4.735
1/1/2017 6:20,4.769
1/1/2017 6:30,4.92
1/1/2017 6:40,4.408
1/1/2017 6:50,4.29
1/1/2017 7:00,4.304
1/1/2017 7:10,4.513
1/1/2017 7:20,4.489
1/1/2017 7:30,4.356
1/1/2017 7:40,4.478
1/1/2017 7:50,4.583
1/1/2017 8:00,4.794
1/1/2017 8:10,4.807
1/1/2017 8:20,4.757
1/1/2017 8:30,4.509
1/1/2017 8:40,4.346
1/1/2017 8:50,4.718
1/1/2017 9:00,4.704
1/1/2017 9:10,4.624
1/1/2017 9:20,4.629
1/1/2017 9:30,4.599
1/1/2017 9:40,4.524
1/1/2017 9:50,4.575
1/1/2017 10:00,5.124
1/1/2017 10:10,5.836
1/1/2017 10:20,5.996
1/1/2017 10:30,6.22
1/1/2017 10:40,6.703
1/1/2017 10:50,6.993
1/1/2017 11:00,7.54
1/1/2017 11:10,8.22
1/1/2017 11:20,9.49
1/1/2017 11:30,10.65
1/1/2017 11:40,11.06
1/1/2017 11:50,12.4
1/1/2017 12:00,13.08
1/1/2017 12:10,14.38
1/1/2017 12:20,15.02
1/1/2017 12:30,15.55
1/1/2017 12:40,15.56
1/1/2017 12:50,15.49
1/1/2017 13:00,15.57
1/1/2017 13:10,15.65
1/1/2017 13:20,15.73
1/1/2017 13:30,15.68
1/1/2017 13:40,15.7
1/1/2017 13:50,15.75
1/1/2017 14:00,15.83
1/1/2017 14:10,15.79
1/1/2017 14:20,15.72
1/1/2017 14:30,15.8
1/1/2017 14:40,15.74
1/1/2017 14:50,15.72
1/1/2017 15:00,15.64
1/1/2017 15:10,15.69
1/1/2017 15:20,15.69
1/1/2017 15:30,15.6
1/1/2017 15:40,15.39
1/1/2017 15:50,15.34
1/1/2017 16:00,15.33
1/1/2017 16:10,15.48
1/1/2017 16:20,15.54
1/1/2017 16:30,15.53
1/1/2017 16:40,15.48
1/1/2017 16:50,15.47
1/1/2017 17:00,15.44
1/1/2017 17:10,15.35
1/1/2017 17:20,15.34
1/1/2017 17:30,15.11
1/1/2017 17:40,14.93
1/1/2017 17:50,14.71
1/1/2017 18:00,14.48
1/1/2017 18:10,14.29
1/1/2017 18:20,14.09
1/1/2017 18:30,13.89
1/1/2017 18:40,13.79
